🇭🇰晴天直播,#genre#
民视,mitv://generationnexxxt.com:19806/67614555f2e0493aa68a4912bbc3ca32
台视,mitv://generationnexxxt.com:19806/7e96091d946f478fbd7b2d04d35253ce
大爱,mitv://generationnexxxt.com:19806/040bf47fdbea454b8b1dc1aae5bd8bd0
中视,mitv://generationnexxxt.com:19806/4bee246a3f114de9944e48b2005d7ed7
霹雳台湾台,mitv://generationnexxxt.com:19806/2687cf7da8994e5f93a8bee20a4abc13
华视,mitv://generationnexxxt.com:19806/92d7df1601d944d6a97c994c7460b432
公视,mitv://generationnexxxt.com:19806/6f827d241c504813a63f3469c7ccac3c
好消息,mitv://generationnexxxt.com:19806/873189ca84554477a5c3534442abda99
原住民电视台,mitv://generationnexxxt.com:19806/d685ed44187143ebadee534520daa115
客家电视台,mitv://generationnexxxt.com:19806/3b93034baf7f4926a6b008efff3fa955
国家地理频道,mitv://generationnexxxt.com:19806/1d153be47cc04f9c8e25bb6721065b29
探索频道,mitv://generationnexxxt.com:19806/7667b9435dce4e849262a45faa1dcc2a
TLC旅游生活,mitv://generationnexxxt.com:19806/5cd55e186a7746829eeabea8e5ec3224
动物星球,mitv://generationnexxxt.com:19806/0b5bc3e59b7f4ee7b8fd60a12a2c6e02
CN卡通频道,mitv://generationnexxxt.com:19806/3f6f89691deb4bd9b410aef0c3843607
MOMO亲子台,mitv://generationnexxxt.com:19806/9a91a16349364cb5abd3a45df5213ff6
东森幼幼台,mitv://generationnexxxt.com:19806/422ea6aed9cc455c9dec856de44c4679
纬来综合台,mitv://generationnexxxt.com:19806/186933e13d50488ab9b7131a090e9f8b
八大第一台,mitv://generationnexxxt.com:19806/59dbd1dbe3604cadbe854c0f8eb00b08
八大综合台,mitv://generationnexxxt.com:19806/7683bc23296d4594b6cb8b133279e84a
三立台湾台,mitv://generationnexxxt.com:19806/4731e415c3664f31969875eecf45ead6
三立都会台,mitv://generationnexxxt.com:19806/91defb65e1ae42a7b24c093dcb65a339
东森综合台,mitv://generationnexxxt.com:19806/01828383c0cb44c2827cb6915ac929ee
超视,mitv://generationnexxxt.com:19806/8febdbd847b5444d849295d2f2724c63
中天综合台,mitv://generationnexxxt.com:19806/de93fc7d31d4445b948f31b57a49533e
中天娱乐台,mitv://generationnexxxt.com:19806/4e757eb588a14a76aa0ce1127868831f
东森戏剧台,mitv://generationnexxxt.com:19806/0c0e070d8d24448987a02f717d1892e3
八大戏剧台,mitv://generationnexxxt.com:19806/4559f2d8c8c94b7db8f6e621ee156cb4
TVBS欢乐台,mitv://generationnexxxt.com:19806/c74ff419879d4f1d9ee2903e786f1efa
纬来戏剧台,mitv://generationnexxxt.com:19806/684a18a0fe9543c4b5e2f80161a6140e
